sido,sigungu,car_type,car_purpose,year,month,value
서울,은평구,총계,자가용,2025,05,"126,343"
서울,은평구,총계,영업용,2025,05,"7,100"
서울,은평구,총계,계,2025,05,"133,748"
서울,종로구,승용,관용,2025,05,"1,724"
서울,종로구,승용,자가용,2025,05,"39,176"
서울,종로구,승용,영업용,2025,05,243
서울,종로구,승용,계,2025,05,"41,143"
서울,종로구,승합,관용,2025,05,"1,480"
서울,종로구,승합,자가용,2025,05,"1,328"
서울,종로구,승합,영업용,2025,05,252
서울,종로구,승합,계,2025,05,"3,060"
서울,종로구,화물,관용,2025,05,334
서울,종로구,화물,자가용,2025,05,"3,580"
서울,종로구,화물,영업용,2025,05,"1,577"
서울,종로구,화물,계,2025,05,"5,491"
서울,종로구,특수,관용,2025,05,102
서울,종로구,특수,자가용,2025,05,93
서울,종로구,특수,영업용,2025,05,102
서울,종로구,특수,계,2025,05,297
서울,종로구,총계,관용,2025,05,"3,640"
서울,종로구,총계,자가용,2025,05,"44,177"
서울,종로구,총계,영업용,2025,05,"2,174"
서울,종로구,총계,계,2025,05,"49,991"
서울,중구,승용,관용,2025,05,289
서울,중구,승용,자가용,2025,05,"39,788"
서울,중구,승용,영업용,2025,05,"1,545"
서울,중구,승용,계,2025,05,"41,622"
서울,중구,승합,관용,2025,05,810
서울,중구,승합,자가용,2025,05,"1,696"
서울,중구,승합,영업용,2025,05,241
서울,중구,승합,계,2025,05,"2,747"
서울,중구,화물,관용,2025,05,177
서울,중구,화물,자가용,2025,05,"4,538"
서울,중구,화물,영업용,2025,05,"1,161"
서울,중구,화물,계,2025,05,"5,876"
서울,중구,특수,관용,2025,05,24
서울,중구,특수,자가용,2025,05,221
서울,중구,특수,영업용,2025,05,101
서울,중구,특수,계,2025,05,346
서울,중구,총계,관용,2025,05,"1,300"
서울,중구,총계,자가용,2025,05,"46,243"
서울,중구,총계,영업용,2025,05,"3,048"
서울,중구,총계,계,2025,05,"50,591"
서울,중랑구,승용,관용,2025,05,80
서울,중랑구,승용,자가용,2025,05,"91,225"
서울,중랑구,승용,영업용,2025,05,"5,929"
서울,중랑구,승용,계,2025,05,"97,234"
서울,중랑구,승합,관용,2025,05,32
서울,중랑구,승합,자가용,2025,05,"2,803"
서울,중랑구,승합,영업용,2025,05,585
서울,중랑구,승합,계,2025,05,"3,420"
서울,중랑구,화물,관용,2025,05,123
서울,중랑구,화물,자가용,2025,05,"11,274"
서울,중랑구,화물,영업용,2025,05,"2,768"
서울,중랑구,화물,계,2025,05,"14,165"
서울,중랑구,특수,관용,2025,05,14
서울,중랑구,특수,자가용,2025,05,244
서울,중랑구,특수,영업용,2025,05,320
서울,중랑구,특수,계,2025,05,578
서울,중랑구,총계,관용,2025,05,249
서울,중랑구,총계,자가용,2025,05,"105,546"
서울,중랑구,총계,영업용,2025,05,"9,602"
서울,중랑구,총계,계,2025,05,"115,397"
서울,계,승용,관용,2025,05,"4,818"
서울,계,승용,자가용,2025,05,"2,657,686"
서울,계,승용,영업용,2025,05,"110,807"
서울,계,승용,계,2025,05,"2,773,311"
서울,계,승합,관용,2025,05,"3,699"
서울,계,승합,자가용,2025,05,"65,046"
서울,계,승합,영업용,2025,05,"14,571"
서울,계,승합,계,2025,05,"83,316"
서울,계,화물,관용,2025,05,"3,920"
서울,계,화물,자가용,2025,05,"238,210"
서울,계,화물,영업용,2025,05,"59,284"
서울,계,화물,계,2025,05,"301,414"
서울,계,특수,관용,2025,05,431
서울,계,특수,자가용,2025,05,"6,083"
서울,계,특수,영업용,2025,05,"5,150"
서울,계,특수,계,2025,05,"11,664"
서울,계,총계,관용,2025,05,"12,868"
서울,계,총계,자가용,2025,05,"2,967,025"
서울,계,총계,영업용,2025,05,"189,812"
서울,계,총계,계,2025,05,"3,169,705"
부산,강서구,승용,관용,2025,05,127
부산,강서구,승용,자가용,2025,05,"69,214"
부산,강서구,승용,영업용,2025,05,"2,017"
부산,강서구,승용,계,2025,05,"71,358"
부산,강서구,승합,관용,2025,05,85
부산,강서구,승합,자가용,2025,05,"1,536"
부산,강서구,승합,영업용,2025,05,329
부산,강서구,승합,계,2025,05,"1,950"
부산,강서구,화물,관용,2025,05,132
부산,강서구,화물,자가용,2025,05,"16,075"
부산,강서구,화물,영업용,2025,05,"2,900"
부산,강서구,화물,계,2025,05,"19,107"
부산,강서구,특수,관용,2025,05,10
부산,강서구,특수,자가용,2025,05,432
부산,강서구,특수,영업용,2025,05,662
부산,강서구,특수,계,2025,05,"1,104"
부산,강서구,총계,관용,2025,05,354
부산,강서구,총계,자가용,2025,05,"87,257"
부산,강서구,총계,영업용,2025,05,"5,908"
부산,강서구,총계,계,2025,05,"93,519"
부산,금정구,승용,관용,2025,05,100
부산,금정구,승용,자가용,2025,05,"64,473"
부산,금정구,승용,영업용,2025,05,"2,411"
부산,금정구,승용,계,2025,05,"66,984"
부산,금정구,승합,관용,2025,05,62
부산,금정구,승합,자가용,2025,05,"1,926"
부산,금정구,승합,영업용,2025,05,922
부산,금정구,승합,계,2025,05,"2,910"
부산,금정구,화물,관용,2025,05,104
부산,금정구,화물,자가용,2025,05,"9,324"
부산,금정구,화물,영업용,2025,05,"3,080"
부산,금정구,화물,계,2025,05,"12,508"
부산,금정구,특수,관용,2025,05,13
부산,금정구,특수,자가용,2025,05,202
부산,금정구,특수,영업용,2025,05,630
부산,금정구,특수,계,2025,05,845
부산,금정구,총계,관용,2025,05,279
부산,금정구,총계,자가용,2025,05,"75,925"
